Acme Widgets Ltd
Ledger Report: Mar:2022/23 to Jan:2024/25

	1000: Main Bank Account				GST	TC	Debit	Credit	Balance
1	CP	2024-03-22	100243	Radio Newton: Advertising	0.00		0.00	675.00	26,474.03 DB
1	CP	2024-03-22	100242	Newton Standard: Advertising	0.00		0.00	5,625.00	20,849.03 DB
1	CR	2024-03-23	107	Summer Fashions: 1901	0.00		504.00	0.00	21,353.03 DB
1	CR	2024-03-23	106	Rose Tinted Optometrists: 1885	0.00		314.55	0.00	21,667.58 DB
1	CR	2024-03-23	105	Green's Garden Depot: 1891, 1897	0.00		1,389.95	0.00	23,057.53 DB
1	CR	2024-03-25		Henry's Auto Repairs: Sale	0.00		11,892.97	0.00	34,950.50 DB
1	CR	2024-03-28		Sales	0.00		7,289.22	0.00	42,239.72 DB
1	CR	2024-04-01	AP	Bank: Interest	0.00		274.14	0.00	42,513.86 DB
1	CP	2024-04-01	AP	Ralph Bigshot: Monthly Drawings	0.00		0.00	2,812.50	39,701.36 DB
1	CP	2024-04-01	AP	Newton Properties: Rent	0.00		0.00	2,088.28	37,613.08 DB
1	CP	2024-04-01	AP	Bank: Bank Fees	0.00		0.00	22.78	37,590.30 DB
1	CR	2024-04-01		Sales	0.00		4,757.19	0.00	42,347.49 DB
1	CR	2024-04-02		Sales	0.00		2,915.68	0.00	45,263.17 DB
1	CP	2024-04-02	100250	Herman Melville: Casual Wages	0.00		0.00	742.50	44,520.67 DB
1	CP	2024-04-05	100251	Newton Superette: Office Supplies	0.00		0.00	23.91	44,496.76 DB
1	CR	2024-04-06		Widget Recycling: Sale	0.00		5,708.62	0.00	50,205.38 DB
1	CR	2024-04-09		Sales	0.00		3,498.82	0.00	53,704.20 DB
1	CR	2024-04-13		Sales	0.00		5,822.80	0.00	59,527.00 DB
1	CP	2024-04-13	100252	Newton Stationers: Stationery	0.00		0.00	69.75	59,457.25 DB
1	CP	2024-04-13	100253	Newton Superette: Office Supplies	0.00		0.00	21.38	59,435.87 DB
1	CP	2024-04-15	100254	Newton Computers: iMac/printer/zip	0.00		0.00	3,318.75	56,117.12 DB
1	CR	2024-04-16		Sales	0.00		3,568.79	0.00	59,685.91 DB
1	CP	2024-04-16	100255	Herman Melville: Casual Wages	0.00		0.00	337.50	59,348.41 DB
1	JN	2024-04-20	BK000003	Deposit	0.00		8,115.15	0.00	67,463.56 DB
1	CP	2024-04-20	100265	Western Widgets: Widget Purchases - Mar	0.00		0.00	11,680.53	55,783.03 DB
1	CP	2024-04-20	100264	Widgets International: Widget Purchases - Mar	0.00		0.00	21,060.57	34,722.46 DB
1	CP	2024-04-20	100262	Australasian Widget's Association: Annual Convention	0.00		0.00	1,119.38	33,603.08 DB
1	CP	2024-04-20	100261	Post Haste: Courier	0.00		0.00	51.58	33,551.50 DB
1	CP	2024-04-20	100260	Newton Transport: Deliveries	0.00		0.00	237.02	33,314.48 DB
1	CP	2024-04-20	100259	Telecom: Phone - Mar	0.00		0.00	697.89	32,616.59 DB
1	CP	2024-04-20	100258	Radio Newton: Advertising	0.00		0.00	675.00	31,941.59 DB
1	CP	2024-04-20	100257	Newton Standard: Advertising	0.00		0.00	5,625.00	26,316.59 DB
1	CP	2024-04-20	100256	Newton Standard: Sub to Mar	0.00		0.00	50.62	26,265.97 DB
1	CP	2024-04-20	AP	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	26,177.26 DB
1	CP	2024-04-20	AP	Newton Power & Light: Power	0.00		0.00	169.83	26,007.43 DB
1	CR	2024-04-20		The Widget Man: Sale	0.00		5,939.26	0.00	31,946.69 DB
1	CP	2024-04-20	200116	Beetle Suppliers Limited: 11075	0.00		0.00	3,744.26	28,202.43 DB
1	CP	2024-04-20	200117	Canon Photocopiers: AP, 128861	0.00		0.00	120.23	28,082.20 DB
1	CP	2024-04-20	200118	Casbah Suppliers Int: 11084	0.00		0.00	880.31	27,201.89 DB
1	CP	2024-04-20	200119	Newton Herald: 407363, 419411	0.00		0.00	425.24	26,776.65 DB
1	CP	2024-04-20	200120	Newton Power: 1388824	0.00		0.00	118.46	26,658.19 DB
1	CP	2024-04-20	200121	Newton Properties: AP	0.00		0.00	618.75	26,039.44 DB
1	CP	2024-04-20	200122	Newton Stationers: 1652	0.00		0.00	39.33	26,000.11 DB
1	CP	2024-04-20	200123	Telecom Newton	0.00		0.00	149.91	25,850.20 DB
1	CP	2024-04-22	100263	Newton Distributors: Widget Purchases - Mar	0.00		0.00	14,040.38	11,809.82 DB
1	CR	2024-04-23		Sales	0.00		3,640.17	0.00	15,449.99 DB
1	CR	2024-04-24	104	Brown Suppliers: 1911, 1915, 1920, 1928	0.00		1,895.06	0.00	17,345.05 DB
1	CR	2024-04-24	102	Spring Cleaners Ltd: 1896, 1905	0.00		983.09	0.00	18,328.14 DB
1	CR	2024-04-24	103	The Winter Bakery: 1910, 1927	0.00		1,031.72	0.00	19,359.86 DB
1	CR	2024-04-24	101	White Contractors: 1873, 1882	0.00		1,110.55	0.00	20,470.41 DB
1	CR	2024-04-27		Sales	0.00		6,058.05	0.00	26,528.46 DB
1	CP	2024-04-28	100266	Newton Superette: Office Supplies	0.00		0.00	25.31	26,503.15 DB
1	CP	2024-04-30	AP	Bank: Bank Fees	0.00		0.00	26.72	26,476.43 DB
1	CP	2024-04-30	100267	Herman Melville: Casual Wages	0.00		0.00	427.50	26,048.93 DB
1	CR	2024-04-30		Sales	0.00		3,712.97	0.00	29,761.90 DB
1	CP	2024-04-30	100268	Dymocks: Stationery	0.00		0.00	87.75	29,674.15 DB
1	CP	2024-05-01	AP	Newton Properties: Rent	0.00		0.00	2,088.28	27,585.87 DB
1	CP	2024-05-01	AP	Ralph Bigshot: Monthly Drawings	0.00		0.00	2,812.50	24,773.37 DB
1	CR	2024-05-03		Sales	0.00		6,179.21	0.00	30,952.58 DB
1	CR	2024-05-06		Sales	0.00		3,787.23	0.00	34,739.81 DB
1	CP	2024-05-08	100269	Newton Superette: Office Supplies	0.00		0.00	22.50	34,717.31 DB
1	CR	2024-05-10		Sales	0.00		6,302.79	0.00	41,020.10 DB
1	CR	2024-05-13		Charles Horse: Sale	0.00		3,862.98	0.00	44,883.08 DB
1	CP	2024-05-13	100270	Herman Melville: Casual Wages	0.00		0.00	663.75	44,219.33 DB
1	CP	2024-05-15	100271	Newton Superette: Office Supplies	0.00		0.00	23.34	44,195.99 DB
1	CR	2024-05-17		Sales	0.00		6,428.85	0.00	50,624.84 DB
1	CP	2024-05-20	100279	Newton Distributors: Widget Purchases - Apr	0.00		0.00	4,719.71	45,905.13 DB
1	CP	2024-05-20	100280	Widgets International: Widget Purchases - Apr	0.00		0.00	7,079.57	38,825.56 DB
1	CP	2024-05-20	100281	Western Widgets: Widget Purchases - May	0.00		0.00	1,699.82	37,125.74 DB
1	JN	2024-05-20	BK000004	Deposit	0.00		8,219.59	0.00	45,345.33 DB
1	CP	2024-05-20	100277	Newton Transport: Deliveries	0.00		0.00	124.02	45,221.31 DB
1	CP	2024-05-20	100276	Telecom: Phone - Apr	0.00		0.00	428.01	44,793.30 DB
1	CP	2024-05-20	100275	Radio Newton: Advertising	0.00		0.00	675.00	44,118.30 DB
1	CP	2024-05-20	100274	Newton Standard: Advertising	0.00		0.00	2,700.00	41,418.30 DB
1	CP	2024-05-20	100273	Newton Council: Rates	0.00		0.00	843.75	40,574.55 DB
1	CP	2024-05-20	100272	Newton Stationers: Stationery	0.00		0.00	14.34	40,560.21 DB
1	CP	2024-05-20	AP	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	40,471.50 DB
1	CP	2024-05-20	AP	Newton Power & Light: Power	0.00		0.00	164.19	40,307.31 DB
1	CP	2024-05-20	100278	Post Haste: Courier	0.00		0.00	33.98	40,273.33 DB
1	CP	2024-05-20	200127	Newton Herald: 432161, 444410	0.00		0.00	425.24	39,848.09 DB
1	CP	2024-05-20	200128	Newton Power: 1469606	0.00		0.00	107.21	39,740.88 DB
1	CP	2024-05-20	200129	Newton Properties: AP	0.00		0.00	618.75	39,122.13 DB
1	CP	2024-05-20	200130	Newton Stationers: 1652	0.00		0.00	46.42	39,075.71 DB
1	CP	2024-05-20	200131	Telecom Newton	0.00		0.00	180.11	38,895.60 DB
1	CR	2024-05-20		Jo's Bargain House: Sale	0.00		3,940.24	0.00	42,835.84 DB
1	CP	2024-05-20	200124	Beetle Suppliers Limited: 11100	0.00		0.00	2,477.53	40,358.31 DB
1	CP	2024-05-20	200125	Canon Photocopiers: AP, 141298	0.00		0.00	121.36	40,236.95 DB
1	CP	2024-05-20	200126	Casbah Suppliers Int: 11108	0.00		0.00	1,062.57	39,174.38 DB
1	CR	2024-05-24		Sales	0.00		6,557.42	0.00	45,731.80 DB
1	CP	2024-05-27	100282	Herman Melville: Casual Wages	0.00		0.00	517.50	45,214.30 DB
1	CR	2024-05-27		Sales	0.00		4,019.05	0.00	49,233.35 DB
1	CP	2024-05-28	100283	Newton Superette: Office Supplies	0.00		0.00	21.38	49,211.97 DB
1	CP	2024-05-28	AP	Bank: Bank Fees	0.00		0.00	23.06	49,188.91 DB
1	CP	2024-06-01	100455	Dymocks: Paper, fax rolls etc	0.00		0.00	90.00	49,098.91 DB
1	CP	2024-06-01	AP	Newton Properties: Rent	0.00		0.00	4,500.00	44,598.91 DB
1	CR	2024-06-06	154	Sales	0.00		6,142.50	0.00	50,741.41 DB
1	CP	2024-06-07	100456	Newton Superette: Office Supplies	0.00		0.00	25.31	50,716.10 DB
1	CP	2024-06-09	100457	Herman Melville: Casual Wages	0.00		0.00	742.50	49,973.60 DB
1	CR	2024-06-09	155	Henry's Auto Repairs: Repairs	0.00		4,331.25	0.00	54,304.85 DB
1	CR	2024-06-13	156	Sales	0.00		6,756.75	0.00	61,061.60 DB
1	CR	2024-06-16	157	Sales	0.00		4,894.31	0.00	65,955.91 DB
1	CP	2024-06-17	100458	Dymocks: Envelopes	0.00		0.00	28.12	65,927.79 DB
1	CP	2024-06-19	100464	Newton Transport: Deliveries	0.00		0.00	152.64	65,775.15 DB
1	CP	2024-06-19	100463	Post Haste: Courier	0.00		0.00	68.06	65,707.09 DB
1	CP	2024-06-19	100462	Newton Garden Restaurant: Lunch with Bill	0.00		0.00	73.98	65,633.11 DB
1	CP	2024-06-19	100465	Telecom: Phone - Dec	0.00		0.00	512.72	65,120.39 DB
1	CP	2024-06-19	100459	Widget World: Advertising	0.00		0.00	5,267.64	59,852.75 DB
1	CP	2024-06-19	100460	Widget International Review: Advertising	0.00		0.00	14,269.93	45,582.82 DB
1	CP	2024-06-19	100461	Newton Gazette: Advertising	0.00		0.00	9,513.28	36,069.54 DB
1	CP	2024-06-19	100470	Newton Power & Light: Power	0.00		0.00	145.07	35,924.47 DB
1	CP	2024-06-19	100469	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	35,835.76 DB
1	CP	2024-06-19	100468	Newton Council: Rates	0.00		0.00	843.75	34,992.01 DB
1	CP	2024-06-19	100467	Newton Standard: Advertising	0.00		0.00	1,406.25	33,585.76 DB
1	CP	2024-06-19	100466	Radio Newton: Advertising	0.00		0.00	675.00	32,910.76 DB
1	JN	2024-06-20	BK000005	Deposit	0.00		12,111.97	0.00	45,022.73 DB
1	CP	2024-06-21	100471	Newton Superette: Office Supplies	0.00		0.00	22.50	45,000.23 DB
1	CP	2024-06-23	100472	Herman Melville: Casual Wages	0.00		0.00	540.00	44,460.23 DB
1	CR	2024-06-29	161	Sales	0.00		5,726.35	0.00	50,186.58 DB
1	CP	2024-06-29	100473	Bank: Bank Fees	0.00		0.00	25.31	50,161.27 DB
1	CP	2024-06-30	DD	Tax Department: GST to May 2010	0.00		0.00	4,392.48	45,768.79 DB
1	CP	2024-06-30	EFT	Casbah Suppliers Int: 11123	0.00		0.00	1,440.01	44,328.78 DB
1	CP	2024-06-30	EFT	Canon Photocopiers: AP, 153527	0.00		0.00	119.11	44,209.67 DB
1	CP	2024-06-30	EFT	Newton Herald: 456674, 468925, 481292	0.00		0.00	637.86	43,571.81 DB
1	CP	2024-06-30	EFT	Newton Power: 1549733	0.00		0.00	138.71	43,433.10 DB
1	CP	2024-06-30	EFT	Newton Properties: AP	0.00		0.00	618.75	42,814.35 DB
1	CP	2024-06-30	EFT	Telecom Newton	0.00		0.00	157.45	42,656.90 DB
1	CP	2024-06-30	EFT	Newton Stationers: 1652, 1652, 1652	0.00		0.00	69.13	42,587.77 DB
1	CP	2024-06-30	EFT	Beetle Suppliers Limited: 11112	0.00		0.00	3,768.93	38,818.84 DB
1	CP	2024-07-01	100474	Ralph Bigshot: Monthly Drawings	0.00		0.00	5,000.00	33,818.84 DB
1	CP	2024-07-01	AP	Newton Properties: Rent	0.00		0.00	4,500.00	29,318.84 DB
1	CP	2024-07-04	100476	Newton Stationers: Stationery	0.00		0.00	37.69	29,281.15 DB
1	CR	2024-07-04	162	Sales	0.00		5,858.10	0.00	35,139.25 DB
1	CP	2024-07-07	100478	Newton Superette: Office Supplies	0.00		0.00	23.91	35,115.34 DB
1	CR	2024-07-07	163	Sales	0.00		5,153.72	0.00	40,269.06 DB
1	CP	2024-07-07	100477	Herman Melville: Casual Wages	0.00		0.00	663.75	39,605.31 DB
1	CR	2024-07-11	164	Sales	0.00		7,029.72	0.00	46,635.03 DB
1	CP	2024-07-11	100479	Newton Stationers: Stationery	0.00		0.00	16.31	46,618.72 DB
1	CR	2024-07-14	165	Charles Horse: Repairs	0.00		5,669.09	0.00	52,287.81 DB
1	CR	2024-07-18	166	Sales	0.00		9,419.83	0.00	61,707.64 DB
1	CP	2024-07-20	100491	Newton Office Services: Photocopy Hire	0.00		0.00	88.71	61,618.93 DB
1	CP	2024-07-20	100492	Newton Power & Light: Power	0.00		0.00	152.61	61,466.32 DB
1	JN	2024-07-20	BK000006	Deposit	0.00		8,126.90	0.00	69,593.22 DB
1	CP	2024-07-20	100483	Newton Gazette: Advertising	0.00		0.00	8,491.28	61,101.94 DB
1	CP	2024-07-20	100482	Widget International Review: Advertising	0.00		0.00	12,736.91	48,365.03 DB
1	CP	2024-07-20	100480	Newton Insurance Brokers: Insurance	0.00		0.00	2,085.75	46,279.28 DB
1	CP	2024-07-20	100484	Newton Standard: Sub to Jan	0.00		0.00	50.62	46,228.66 DB
1	CP	2024-07-20	100485	Post Haste: Courier	0.00		0.00	40.28	46,188.38 DB
1	CP	2024-07-20	100486	Newton Transport: Deliveries	0.00		0.00	169.48	46,018.90 DB
1	CP	2024-07-20	100487	Telecom: Phone - Jan	0.00		0.00	482.34	45,536.56 DB
1	CP	2024-07-20	100488	Radio Newton: Advertising	0.00		0.00	675.00	44,861.56 DB
1	CP	2024-07-20	100489	Newton Standard: Advertising	0.00		0.00	4,050.00	40,811.56 DB
1	CP	2024-07-20	100490	Newton Superette: Office Supplies	0.00		0.00	21.38	40,790.18 DB
1	CP	2024-07-20	100481	Widget World: Advertising	0.00		0.00	3,109.77	37,680.41 DB
1	CR	2024-07-21	167	Sales	0.00		4,535.27	0.00	42,215.68 DB
1	CP	2024-07-21	100493	Herman Melville: Casual Wages	0.00		0.00	135.00	42,080.68 DB
1	CP	2024-07-28	100495	Widget Machines: Widget Sprongle Beater	0.00		0.00	9,556.88	32,523.80 DB
1	CP	2024-07-28	100496	Dymocks: Photocopy Paper	0.00		0.00	56.81	32,466.99 DB
1	CR	2024-07-28	169	Sales	0.00		4,081.75	0.00	36,548.74 DB
1	CP	2024-07-28	100494	Bank: Bank Fees	0.00		0.00	76.78	36,471.96 DB
1	CP	2024-07-31	EFT	Telecom Newton	0.00		0.00	156.74	36,315.22 DB
1	CP	2024-07-31	EFT	Newton Stationers: 1652	0.00		0.00	50.62	36,264.60 DB
1	CP	2024-07-31	EFT	Newton Power: 1228365	0.00		0.00	115.09	36,149.51 DB
1	CP	2024-07-31	EFT	Newton Herald: 356787, 369719	0.00		0.00	425.24	35,724.27 DB
1	CP	2024-07-31	EFT	Casbah Suppliers Int: 11025	0.00		0.00	2,417.62	33,306.65 DB
1	CP	2024-07-31	EFT	Canon Photocopiers: AP, 103247	0.00		0.00	121.36	33,185.29 DB
1	CP	2024-07-31	EFT	Beetle Suppliers Limited: 11025	0.00		0.00	3,897.40	29,287.89 DB
1	CP	2024-08-01	AP	Newton Properties: Rent	0.00		0.00	4,500.00	24,787.89 DB
1	CP	2024-08-01	100497	Ralph Bigshot: Monthly Drawings	0.00		0.00	5,000.00	19,787.89 DB
1	CP	2024-08-03	100499	Newton Superette: Office Supplies	0.00		0.00	25.31	19,762.58 DB
1	CR	2024-08-04	171	Sales	0.00		4,530.74	0.00	24,293.32 DB
